VENDOR_NAME,ERP_SUPPLIER_ID,VENDOR_DETAILS,ADDRESS,CONTACT_NAME,EMAIL,PAYMENT_TERMS,CONTRACT_EXISTS,CONTRACT_ID,VALIDITY_DATE,GUARANTEED_SPEND,CONTRACT_VALUE_USD,TOTAL_AMOUNT_INVOICE_USD,DISCOUNT,Vendor Commodity Code List
Morningstar Corp.,10851000,"Financial analytics, dashboards","222 LaSalle St, Chicago, IL 60601",Henry Jones,henry@morningstar.com,Net 45,No,,,,18000,3600,,43232314 Business Intelligence Software; 43232605 Data Analytics Software; 43232310 Big Data Software; 43232300 Database Software; 43230000 Software Other; 43231513 Desktop/Tools Software; 43231602 Enterprise resource planning ERP software; 43232806 Cloud-based management software; 43232200 Content management software; 43231508 Panel Device Inventory Management Software; 43232203 File versioning software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233004 Operating system; 43233200 Security Software; 43221700 Network Hardware; 43222500 Security Hardware; 43222800 Network Devices; 84000000 Financial Services; 84110000 Outsourced Finance and Accounting; 84111505 Payroll Processing; 84111600 Audit Services; 84111800 Tax Consulting; 80141500 Market Analysis and Research
Avaya Inc.,10858000,"Telecom, network, IT support","350 Mt. Kemble Ave, Morristown, NJ 07960",Marta Cruz,marta@avaya.com,Net 30,No,,,,20000,4000,,43000000 IT Broadcast and Telecom; 43190000 Communications Devices; 43191500 Mobile Devices; 43191504 Office Phones; 43191600 Phone Accessories; 43191609 Headsets; 43200000 IT Hardware Components; 43210000 IT Hardware and Accessories; 43210001 Fixed asset holding; 43211500 IT Hardware Other; 43211501 Computer servers; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 43230000 Software Other; 43231508 Panel Device Inventory Management Software; 43231513 Desktop/Tools Software; 43231514 Customer Relationship Management Software; 43231602 Enterprise resource planning ERP software; 43232200 Content management software; 43232203 File versioning software; 43232300 Database Software; 43232310 Big Data Software; 43232314 Business Intelligence Software; 43232605 Data Analytics Software; 43232806 Cloud-based management software; 43232903 Call Center Software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233004 Operating system; 43233200 Security Software; 43233511 Mapping-Geocoding Software; 43231505 HR Software; 71151106 Data Storage/Disaster Recovery; 73171508 Meter Cabling; 80101507 IT Consulting; 80101608 IT Contractor; 81111500 TCS outsourced services; 81111508 TCS o/s services (managed); 81111802 Mainframe; 81111811 Help Desk/Tech Support; 81111821 Technology Other; 81112000 Outsourced Data Services; 81112003 Data Center Services; 81112100 Outsourced Internet Services; 81112101 Internet Service Provider; 81112105 Web Hosting; 81112200 Optional Software Maintenance; 81112299 Mandatory Software Maintenance; 81112300 IT hardware maintenance and support; 81112400 Computer hardware rental or leasing services; 81161700 Voice Telecom Service; 81161703 Mobile Telecom Service; 81162202 Cloud Infrastructure Storage and Compute; 83111506 Videoconferencing; 83111508 Toll free inbound telephone service; 83111600 Mobile Telecom; 83111602 Satellite; 83112203 VPN services; 83112402 ISDN; 83112403 Point to point digital telecommunications circuit; 83112406 DSL digital subscriber line
NexGen IT,10834900,"IT services, cloud, SaaS","509 Cedar St, St. Paul, MN 55101",Emily Wu,emily@nexgen.com,Net 30,Yes,?2024-075,31/12/2026,37000,77000,23800,6%,43000000 IT Broadcast and Telecom; 43190000 Communications Devices; 43191500 Mobile Devices; 43191504 Office Phones; 43191600 Phone Accessories; 43191609 Headsets; 43200000 IT Hardware Components; 43210000 IT Hardware and Accessories; 43210001 Fixed asset holding; 43211500 IT Hardware Other; 43211501 Computer servers; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 43230000 Software Other; 43231505 HR Software; 43231508 Panel Device Inventory Management Software; 43231513 Desktop/Tools Software; 43231514 Customer Relationship Management Software; 43231602 Enterprise resource planning ERP software; 43232200 Content management software; 43232203 File versioning software; 43232300 Database Software; 43232310 Big Data Software; 43232314 Business Intelligence Software; 43232605 Data Analytics Software; 43232806 Cloud-based management software; 43232903 Call Center Software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233004 Operating system; 43233200 Security Software; 43233511 Mapping-Geocoding Software; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 45000000 AV-Print Equipment; 45110000 Audio-Video; 80101507 IT Consulting; 80111608 IT Contractor; 81111500 TCS outsourced services; 81111508 TCS o/s services (managed); 81111802 Mainframe; 81111811 Help Desk/Tech Support; 81111821 Technology Other; 81112000 Outsourced Data Services; 81112003 Data Center Services; 81112100 Outsourced Internet Services; 81112101 Internet Service Provider; 81112105 Web Hosting; 81112200 Optional Software Maintenance; 81112299 Mandatory Software Maintenance; 81112300 IT hardware maintenance and support; 81112400 Computer hardware rental or leasing services; 81161700 Voice Telecom Service; 81161703 Mobile Telecom Service; 81162202 Cloud Infrastructure Storage and Compute; 83111506 Videoconferencing; 83112203 VPN services
SafeGuard,10821100,"Security software, network devices","88 Madison Ave, New York, NY 10016",Simon Hope,simon@safeguard.com,Net 30,No,,,,18000,3700,,43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 43230000 Software Other; 43231513 Desktop/Tools Software; 43232200 Content management software; 43232203 File versioning software; 43232300 Database Software; 43232310 Big Data Software; 43232314 Business Intelligence Software; 43232605 Data Analytics Software; 43232806 Cloud-based management software; 43232903 Call Center Software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233004 Operating system; 43233200 Security Software
OmniChem,10812500,"Cleaning chemicals, office maintenance","3900 Main St, Houston, TX 77002",Alana Pace,alana@omnichem.com,Net 15,Yes,?2024-077,31/12/2026,24000,37000,18400,5%,12000000 Chemicals; 47000000 Cleaning Equipment; 52000000 Household Products; 76110000 Cleaning and janitorial services; 72100000 One time office maintenance & repair
SupraPrint,10807700,"Paper, printing, copiers, office equipment","1140 Walnut St, Kansas City, MO 64106",Cathy Jensen,cjensen@supraprint.com,Net 30,No,,,,26000,5500,,14000000 Paper Materials; 24140000 Packing supplies; 31200000 Tape; 43212100 Printers; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 45000000 AV-Print Equipment; 56000000 Office Furniture and Equipment; 73151900 Printing Materials; 82121500 Printing Service; 84121607 Office equipment rent/lease
EcoWorks LLC,10816600,"Sustainability, cleaning, office consumables","7300 Grand Ave, Des Moines, IA 50312",Janet Cole,janet@ecoworks.com,Net 30,Yes,?2024-080,31/12/2026,20000,41000,11000,6%,14000000 Paper Materials; 24140000 Packing supplies; 30201710 Office pantry & kitchen supplies; 44110000 Desk Accessories; 44120000 Office Supplies; 47000000 Cleaning Equipment; 52000000 Household Products; 56000000 Office Furniture and Equipment; 76110000 Cleaning and janitorial services; 77000000 Environmental Services
CleanSpace LLC,10809101,"Janitorial, cleaning, office supplies","2020 Beach Blvd, Jacksonville, FL 32250",Mike Lowe,mlowe@cleanspace.com,Net 30,No,,,,12000,3500,,24140000 Packing supplies; 30201710 Office pantry & kitchen supplies; 31200000 Tape; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 44120000 Office Supplies; 47000000 Cleaning Equipment; 52000000 Household Products; 56000000 Office Furniture and Equipment; 56000000 Office Furniture and Equipment; 56000000 Office Furniture and Equipment; 76110000 Cleaning and janitorial services
AlphaPro Consulting,10879200,"Business IT, SAP services","18 King St, New Haven, CT 06510",George Lee,glee@alphapro.com,Net 15,Yes,?2024-082,31/12/2026,29000,52000,19200,7%,43000000 IT Broadcast and Telecom; 43190000 Communications Devices; 43191500 Mobile Devices; 43191504 Office Phones; 43191600 Phone Accessories; 43191609 Headsets; 43200000 IT Hardware Components; 43210000 IT Hardware and Accessories; 43210001 Fixed asset holding; 43211500 IT Hardware Other; 43211501 Computer servers; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 43230000 Software Other; 43231505 HR Software; 43231508 Panel Device Inventory Management Software; 43231513 Desktop/Tools Software; 43231514 Customer Relationship Management Software; 43231602 Enterprise resource planning ERP software; 43232200 Content management software; 43232203 File versioning software; 43232300 Database Software; 43232310 Big Data Software; 43232314 Business Intelligence Software; 43232605 Data Analytics Software; 43232806 Cloud-based management software; 43232903 Call Center Software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233004 Operating system; 43233200 Security Software; 43233511 Mapping-Geocoding Software; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 45000000 AV-Print Equipment; 45110000 Audio-Video; 71151106 Data Storage/Disaster Recovery; 80101507 IT Consulting; 80111608 IT Contractor; 81000000 Technical Services; 81111500 TCS outsourced services; 81111508 TCS o/s services (managed); 81111802 Mainframe; 81111811 Help Desk/Tech Support; 81111821 Technology Other; 81112000 Outsourced Data Services; 81112003 Data Center Services; 81112100 Outsourced Internet Services; 81112101 Internet Service Provider; 81112105 Web Hosting; 81112200 Optional Software Maintenance; 81112299 Mandatory Software Maintenance; 81112300 IT hardware maintenance and support; 81112400 Computer hardware rental or leasing services; 81161700 Voice Telecom Service; 81161703 Mobile Telecom Service; 81162202 Cloud Infrastructure Storage and Compute; 83111506 Videoconferencing; 83111600 Mobile Telecom; 83112203 VPN services
DataPath,10894300,"IT infrastructure, SaaS, BI dashboards","678 Broadway, Seattle, WA 98101",Carl Otto,carlo@datapath.com,Net 45,No,,,,32000,8000,,43000000 IT Broadcast and Telecom; 43190000 Communications Devices; 43191500 Mobile Devices; 43191504 Office Phones; 43191600 Phone Accessories; 43191609 Headsets; 43200000 IT Hardware Components; 43210000 IT Hardware and Accessories; 43210001 Fixed asset holding; 43211500 IT Hardware Other; 43211501 Computer servers; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 43230000 Software Other; 43231505 HR Software; 43231508 Panel Device Inventory Management Software; 43231513 Desktop/Tools Software; 43231514 Customer Relationship Management Software; 43231602 Enterprise resource planning ERP software; 43232200 Content management software; 43232203 File versioning software; 43232300 Database Software; 43232310 Big Data Software; 43232314 Business Intelligence Software; 43232605 Data Analytics Software; 43232806 Cloud-based management software; 43232903 Call Center Software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233004 Operating system; 43233200 Security Software; 43233511 Mapping-Geocoding Software; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 45000000 AV-Print Equipment; 45110000 Audio-Video; 80101507 IT Consulting; 80111608 IT Contractor; 81111802 Mainframe; 81111811 Help Desk/Tech Support; 81111821 Technology Other; 81112000 Outsourced Data Services; 81112003 Data Center Services; 81112100 Outsourced Internet Services; 81112101 Internet Service Provider; 81112105 Web Hosting; 81112200 Optional Software Maintenance; 81112299 Mandatory Software Maintenance; 81112300 IT hardware maintenance and support; 81112400 Computer hardware rental or leasing services; 81162202 Cloud Infrastructure Storage and Compute; 83111506 Videoconferencing; 83112203 VPN services
VirtuMart,10854400,"E-commerce, small office goods","300 Main St, Springfield, MA 01103",Mary Blunt,mblunt@virtumart.com,Net 30,Yes,?2024-084,31/12/2026,19000,39000,17800,8%,24140000 Packing supplies; 31200000 Tape; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222800 Network Devices; 43230000 Software Other; 43231505 HR Software; 43231508 Panel Device Inventory Management Software; 43231513 Desktop/Tools Software; 43231514 Customer Relationship Management Software; 43231602 Enterprise resource planning ERP software; 43232200 Content management software; 43232203 File versioning software; 43232300 Database Software; 43232310 Big Data Software; 43232314 Business Intelligence Software; 43232605 Data Analytics Software; 43232806 Cloud-based management software; 43232903 Call Center Software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233004 Operating system; 43233200 Security Software; 43233511 Mapping-Geocoding Software; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 45110000 Audio-Video; 56000000 Office Furniture and Equipment; 71151106 Data Storage/Disaster Recovery; 73151900 Printing Materials; 78131804 Document storage and imaging; 80161501 Other office expenses; 84121607 Office equipment rent/lease; 30201710 Office pantry & kitchen supplies; 82121500 Printing Service
BrightView Inc.,10845500,"Office design, space planning, furniture","456 Maple Ave, Madison, WI 53703",Paul Wren,pwren@brightview.com,Net 30,No,,,,25000,5100,,56000000 Office Furniture and Equipment; 56000000 Office Furniture and Equipment; 56000000 Office Furniture and Equipment; 78101804 Office Relocation
"TEJAS OFFICE PRODUCTS, INC.",10616293,"Office supplies, printers, toner, paper, stationery","1225 West Loop S, Houston, TX",Laura Fernandez,lfernandez@tejasoffice.com,Net 15,Yes,?2024-085,31/12/2026,20000,"150,000","85,200",5%,14000000 Paper Materials; 24140000 Packing supplies; 31200000 Tape; 43212100 Printers; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 45000000 AV-Print Equipment; 56000000 Office Furniture and Equipment; 73151900 Printing Materials; 80161501 Other office expenses; 82121500 Printing Service
"Overture Promotions, Inc.",10436570,"Promotional products, branded gifts, company swag","7900 S Madison St, Burr Ridge, IL",Greg Nelson,gnelson@overturepromos.com,Net 45,Yes,?2024-086,31/12/2026,20000,"95,000","52,300",5%,"49100000 Employee Awards - Materials; 49101700 Employee Recognition Service/Points; 53000000 Apparel and Personal; 54000000 Watches and Jewelry; 60000000 Music, Games, Toys; 80141600 Sales Promotions; 80141601 Customer Gifts; 80141611 Incentives (Panel); 80141627 Coop and Royalty; 80141630 Royalty Costs; 80141631 Trade/Barter Cost; 80141632 Trade Show - Sponsorship; 80141633 Accrued Coop (incentives); 80141650 Other incentives; 80141900 Trade Shows & Exhibits; 82121500 Printing Service"
DELL MARKETING LP,10245756,"Laptops, PCs, monitors, IT hardware, support contracts","1 Dell Way, Round Rock, TX",Amanda Smith,asmith@dell.com,Net 30,Yes,?2024-087,31/12/2026,20000,"350,000","201,000",5%,43000000 IT Broadcast and Telecom; 43190000 Communications Devices; 43191500 Mobile Devices; 43191504 Office Phones; 43191600 Phone Accessories; 43191609 Headsets; 43200000 IT Hardware Components; 43210000 IT Hardware and Accessories; 43211500 IT Hardware Other; 43211501 Computer servers; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 81111811 Help Desk/Tech Support; 81112300 IT hardware maintenance and support; 81112400 Computer hardware rental or leasing services
AMAZON COM LLC,10248442,"Office supplies, electronics, business consumables","410 Terry Ave N, Seattle, WA",John Brooks,john.brooks@amazon.com,Net 30,Yes,?2024-088,31/12/2026,20000,"225,000","117,750",5%,14000000 Paper Materials; 24140000 Packing supplies; 26111700 Batteries; 31200000 Tape; 32000000 Electronic Components; 43190000 Communications Devices; 43191500 Mobile Devices; 43191504 Office Phones; 43191600 Phone Accessories; 43191609 Headsets; 43200000 IT Hardware Components; 43210000 IT Hardware and Accessories; 43211500 IT Hardware Other; 43211501 Computer servers; 43211503 Laptop/Desktop; 43211600 Catalog IT Accessories; 43211900 Computer Monitors; 43212100 Printers; 43212200 Computer data storage management systems; 43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 43230000 Software Other; 43231508 Panel Device Inventory Management Software; 43231513 Desktop/Tools Software; 43231514 Customer Relationship Management Software; 43231602 Enterprise resource planning ERP software; 43232200 Content management software; 43232203 File versioning software; 43232300 Database Software; 43232310 Big Data Software; 43232314 Business Intelligence Software; 43232605 Data Analytics Software; 43232806 Cloud-based management software; 43232903 Call Center Software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233004 Operating system; 43233200 Security Software; 43233511 Mapping-Geocoding Software; 43231505 HR Software; 44000000 Catalog Office Accessories; 44101500 Copiers and Scanners; 44110000 Desk Accessories; 44120000 Office Supplies; 45000000 AV-Print Equipment; 45110000 Audio-Video; 47000000 Cleaning Equipment; 52160000 Consumer electronics; 56000000 Office Furniture and Equipment; 71151106 Data Storage/Disaster Recovery; 73151504 Meters; 73151900 Printing Materials; 73171508 Meter Cabling; 80161501 Other office expenses; 30201710 Office pantry & kitchen supplies; 82121500 Printing Service; 84121607 Office equipment rent/lease
Jumbo Animal Exports,200001,"Exotic large mammals, live elephant supply","Tanzania, Main St.",Asha Mtumba,asha@jumboele.com,Net 30,YES,ELE-001,31/12/2026,50000,200000,92000,2%,"10000000 Live animals, mammals"
Safari Zoological,200002,Zoo animal procurement,"Kenya, Safari Ave.",Samuel Ngugi,s.ngugi@safarizoo.ke,Net 45,NO,ELE-002,30/06/2025,0,100000,43000,0,"10000000 Live animals, mammals"
ChemX Industrial,200101,"Bulk industrial chemicals, acids","Germany, ChemPark",Franz Weber,franz@chemx.de,Net 30,YES,CHEM-101,15/09/2026,80000,180000,85000,4%,12000000 Industrial acids
Sulfuric Supply GmbH,200102,Sulfuric acid & derivatives,"Belgium, Rue Science",Elise Dubois,elise@sulfuric.be,Net 45,YES,CHEM-102,01/07/2026,25000,50000,27500,3%,12000000 Industrial acids
PetroGlobal Ltd.,200201,"Fuel, gasoline, lubricants","USA, Houston",Mark Rainer,mark@petroglobal.com,Net 30,YES,FUEL-501,28/02/2027,150000,750000,180000,5%,"15000000 Fuels, gasoline"
Energy & Oils Trading,200202,Automotive fuels and gas stations,"UAE, Dubai",Zaid Al-Khatib,zaid@energyoils.ae,Net 30,NO,FUEL-502,01/10/2025,0,150000,46000,0,"15000000 Fuels, gasoline"
Zycron LLC,10809100,"HR IT services, support, consulting","6125 Presley Rd, Memphis, TN 38134",Nick Faber,nick.faber@zycron.com,Net 15,No,,,22000,4300,,,93141813 HR consulting; 80101500 Professional Consulting; 80111700 Recruiting; 43231505 HR Software
Stone & Partners,10876000,"HR consulting, audits, payroll","102 Broadway, Denver, CO 80203",Keith Stone,kstone@stonepartners.com,Net 30,Yes,?2024-070,31/12/2026,18000,52000,19200,7%,80101500 Professional Consulting; 80111700 Recruiting; 84111505 Payroll Processing; 84111600 Audit Services; 43231505 HR Software
NGO PrintWorks,210001,Paper & office supplies for NGOs,"Bangladesh, Dhaka",Rina Chowdhury,rina@ngoprintworks.org,Net 30,YES,NGO-7001,01/08/2026,9000,24000,11000,0,94000000 Non-profit supplies
GreenPaper Initiative,210002,"Paper, eco-friendly, NGO supply focus","India, Delhi",Rajeev Sinha,rajeev@greenpaper.in,Net 30,YES,NGO-7002,01/05/2026,12000,35000,12500,0,94000000 Non-profit supplies
TechnoDELL,40010001,"Computer hardware, laptops, accessories","1 Dell Way, TX 78682",Carol Briggs,c.briggs@technodell.com,Net 30,YES,DELL?2024,01/05/2026,250000,700000,240000,5%,43211503 Laptop/Desktop; 43211900 Computer Monitors; 44120000 Office Supplies
AetherShield Technologies Inc.,BP100001,Cloud security threat monitoring,"456 Sentinel Way, San Jose, CA",Marcus J. Vance,security@aethershield.com,Net 30,Yes,CTR-20250001,06/07/2026,55122,55122,55122,15%,43221700 Network Hardware; 43222500 Security Hardware; 43222609 Network routers; 43222800 Network Devices; 43232806 Cloud-based management software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233200 Security Software; 46000000 Safety and Security Supplies; 81162202 Cloud Infrastructure Storage and Compute; 84122000 Prepaid Security Deposits; 92000000 Security Services; 92121504 Office security; 
Palate & Platter Hospitality Co.,BP100002,Catering for corporate events,"1129 Culinary Blvd, Chicago, IL",Helena Ruiz,events@palateplatter.com,Net 90,Yes,CTR-20250002,06/07/2026,138324,138324,138324,0%,50000000 Food and Beverage; 30201710 Office pantry & kitchen supplies;
NebulaWorks Systems LLC,BP100003,Enterprise software maintenance,"84 Polaris Dr, Austin, TX",Dr. Ethan McBride,support@nebulaworks.com,Net 60,Yes,CTR-20250003,06/07/2026,134461,134461,134461,5%,43230000 Software Other; 43231508 Panel Device Inventory Management Software; 43231513 Desktop/Tools Software; 43231514 Customer Relationship Management Software; 43231602 Enterprise resource planning ERP software; 43232200 Content management software; 43232203 File versioning software; 43232300 Database Software; 43232310 Big Data Software; 43232314 Business Intelligence Software; 43232605 Data Analytics Software; 43232806 Cloud-based management software; 43232903 Call Center Software; 43232917 Virtualization Software; 43233000 IT Management Software; 43233004 Operating system; 43233200 Security Software; 43233511 Mapping-Geocoding Software; 43231505 HR Software; 81111811 Help Desk/Tech Support; 81112200 Optional Software Maintenance; 81112299 Mandatory Software Maintenance; 81112300 IT hardware maintenance and support; 
